loss,train_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.10695897787809372,0.46916109323501587,1739723193,,False,1,e43f9_00015,2025-02-16_16-26-33,3.8977928161621094,3.8977928161621094,2923,4def4e341627,172.19.0.2,3.8977928161621094,1
0.07840835303068161,0.3543175458908081,1739723196,,False,2,e43f9_00015,2025-02-16_16-26-36,3.007107734680176,6.904900550842285,2923,4def4e341627,172.19.0.2,6.904900550842285,2
0.07153593003749847,0.2597518265247345,1739723199,,False,3,e43f9_00015,2025-02-16_16-26-39,3.147977113723755,10.05287766456604,2923,4def4e341627,172.19.0.2,10.05287766456604,3
0.06344454735517502,0.24927972257137299,1739723202,,False,4,e43f9_00015,2025-02-16_16-26-42,2.8618500232696533,12.914727687835693,2923,4def4e341627,172.19.0.2,12.914727687835693,4
0.0612194649875164,0.2401961237192154,1739723205,,False,5,e43f9_00015,2025-02-16_16-26-45,2.7990610599517822,15.713788747787476,2923,4def4e341627,172.19.0.2,15.713788747787476,5
0.06028825789690018,0.20779339969158173,1739723208,,False,6,e43f9_00015,2025-02-16_16-26-48,2.9706668853759766,18.684455633163452,2923,4def4e341627,172.19.0.2,18.684455633163452,6
0.05620547756552696,0.27151888608932495,1739723211,,False,7,e43f9_00015,2025-02-16_16-26-51,2.741915464401245,21.426371097564697,2923,4def4e341627,172.19.0.2,21.426371097564697,7
0.06267690658569336,0.1921837478876114,1739723213,,False,8,e43f9_00015,2025-02-16_16-26-53,2.9107673168182373,24.337138414382935,2923,4def4e341627,172.19.0.2,24.337138414382935,8
0.06847818195819855,0.22287780046463013,1739723216,,False,9,e43f9_00015,2025-02-16_16-26-56,2.996772050857544,27.33391046524048,2923,4def4e341627,172.19.0.2,27.33391046524048,9
0.06734667718410492,0.2010270059108734,1739723220,,False,10,e43f9_00015,2025-02-16_16-27-00,3.318427324295044,30.652337789535522,2923,4def4e341627,172.19.0.2,30.652337789535522,10
