loss,train_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.02590227872133255,0.4192787706851959,1739716649,,False,1,65eb4_00001,2025-02-16_14-37-29,4.923981189727783,4.923981189727783,1744,f8efab3814bc,172.19.0.2,4.923981189727783,1
0.02801351435482502,0.40632113814353943,1739716653,,False,2,65eb4_00001,2025-02-16_14-37-33,4.007869720458984,8.931850910186768,1744,f8efab3814bc,172.19.0.2,8.931850910186768,2
0.02853911556303501,0.30061405897140503,1739716657,,False,3,65eb4_00001,2025-02-16_14-37-37,3.942596435546875,12.874447345733643,1744,f8efab3814bc,172.19.0.2,12.874447345733643,3
0.04381269961595535,0.2001911848783493,1739716661,,False,4,65eb4_00001,2025-02-16_14-37-41,4.047326326370239,16.921773672103882,1744,f8efab3814bc,172.19.0.2,16.921773672103882,4
0.049686189740896225,0.11752285063266754,1739716665,,False,5,65eb4_00001,2025-02-16_14-37-45,4.032695531845093,20.954469203948975,1744,f8efab3814bc,172.19.0.2,20.954469203948975,5
0.05087253078818321,0.08584243059158325,1739716669,,False,6,65eb4_00001,2025-02-16_14-37-49,4.249585151672363,25.204054355621338,1744,f8efab3814bc,172.19.0.2,25.204054355621338,6
0.05430573970079422,0.07333366572856903,1739716674,,False,7,65eb4_00001,2025-02-16_14-37-54,4.094895839691162,29.2989501953125,1744,f8efab3814bc,172.19.0.2,29.2989501953125,7
0.05331704393029213,0.06464894860982895,1739716678,,False,8,65eb4_00001,2025-02-16_14-37-58,3.991985559463501,33.290935754776,1744,f8efab3814bc,172.19.0.2,33.290935754776,8
0.05869532749056816,0.05745203047990799,1739716682,,False,9,65eb4_00001,2025-02-16_14-38-02,4.0269999504089355,37.31793570518494,1744,f8efab3814bc,172.19.0.2,37.31793570518494,9
0.06167392060160637,0.052775561809539795,1739716686,,False,10,65eb4_00001,2025-02-16_14-38-06,4.085191488265991,41.40312719345093,1744,f8efab3814bc,172.19.0.2,41.40312719345093,10
