loss,train_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.036380283534526825,0.38879385590553284,1739653751,,False,1,f7879_00016,2025-02-15_21-09-11,1.6878454685211182,1.6878454685211182,2857,e82c2a0d68e7,172.19.0.2,1.6878454685211182,1
0.026027118787169456,0.31767576932907104,1739653752,,False,2,f7879_00016,2025-02-15_21-09-12,1.3038649559020996,2.9917104244232178,2857,e82c2a0d68e7,172.19.0.2,2.9917104244232178,2
0.03355155140161514,0.31351616978645325,1739653754,,False,3,f7879_00016,2025-02-15_21-09-14,1.2233493328094482,4.215059757232666,2857,e82c2a0d68e7,172.19.0.2,4.215059757232666,3
0.04361617565155029,0.16719815135002136,1739653755,,False,4,f7879_00016,2025-02-15_21-09-15,1.1422908306121826,5.357350587844849,2857,e82c2a0d68e7,172.19.0.2,5.357350587844849,4
0.04298844560980797,0.1438160091638565,1739653756,,False,5,f7879_00016,2025-02-15_21-09-16,1.156614065170288,6.513964653015137,2857,e82c2a0d68e7,172.19.0.2,6.513964653015137,5
0.042349740862846375,0.1355159878730774,1739653757,,False,6,f7879_00016,2025-02-15_21-09-17,1.1442887783050537,7.65825343132019,2857,e82c2a0d68e7,172.19.0.2,7.65825343132019,6
0.04039953649044037,0.10143966972827911,1739653758,,False,7,f7879_00016,2025-02-15_21-09-18,1.130587100982666,8.788840532302856,2857,e82c2a0d68e7,172.19.0.2,8.788840532302856,7
0.04887807369232178,0.08827125281095505,1739653759,,False,8,f7879_00016,2025-02-15_21-09-19,1.2283775806427002,10.017218112945557,2857,e82c2a0d68e7,172.19.0.2,10.017218112945557,8
0.05034733936190605,0.0806255042552948,1739653761,,False,9,f7879_00016,2025-02-15_21-09-21,1.2144129276275635,11.23163104057312,2857,e82c2a0d68e7,172.19.0.2,11.23163104057312,9
0.05302364379167557,0.07370449602603912,1739653762,,False,10,f7879_00016,2025-02-15_21-09-22,1.1551446914672852,12.386775732040405,2857,e82c2a0d68e7,172.19.0.2,12.386775732040405,10
