loss,train_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.02590227872133255,0.4192787706851959,1739653323,,False,1,f7879_00001,2025-02-15_21-02-03,4.920305490493774,4.920305490493774,1749,e82c2a0d68e7,172.19.0.2,4.920305490493774,1
0.02801351435482502,0.40632113814353943,1739653327,,False,2,f7879_00001,2025-02-15_21-02-07,4.103294610977173,9.023600101470947,1749,e82c2a0d68e7,172.19.0.2,9.023600101470947,2
0.02853911556303501,0.30061405897140503,1739653331,,False,3,f7879_00001,2025-02-15_21-02-11,4.097939729690552,13.121539831161499,1749,e82c2a0d68e7,172.19.0.2,13.121539831161499,3
0.04381269961595535,0.2001911848783493,1739653335,,False,4,f7879_00001,2025-02-15_21-02-15,4.197068929672241,17.31860876083374,1749,e82c2a0d68e7,172.19.0.2,17.31860876083374,4
0.049686189740896225,0.11752285063266754,1739653340,,False,5,f7879_00001,2025-02-15_21-02-20,4.215090036392212,21.533698797225952,1749,e82c2a0d68e7,172.19.0.2,21.533698797225952,5
0.05087253078818321,0.08584243059158325,1739653344,,False,6,f7879_00001,2025-02-15_21-02-24,4.185770034790039,25.71946883201599,1749,e82c2a0d68e7,172.19.0.2,25.71946883201599,6
0.05430573970079422,0.07333366572856903,1739653348,,False,7,f7879_00001,2025-02-15_21-02-28,4.142797231674194,29.862266063690186,1749,e82c2a0d68e7,172.19.0.2,29.862266063690186,7
0.05331704393029213,0.06464894860982895,1739653352,,False,8,f7879_00001,2025-02-15_21-02-32,4.241318464279175,34.10358452796936,1749,e82c2a0d68e7,172.19.0.2,34.10358452796936,8
0.05869532749056816,0.05745203047990799,1739653356,,False,9,f7879_00001,2025-02-15_21-02-36,4.150924205780029,38.25450873374939,1749,e82c2a0d68e7,172.19.0.2,38.25450873374939,9
0.06167392060160637,0.052775561809539795,1739653361,,False,10,f7879_00001,2025-02-15_21-02-41,4.179888963699341,42.43439769744873,1749,e82c2a0d68e7,172.19.0.2,42.43439769744873,10
